"","tk","pl","dia","hs","tc","cta","id_art","id_subsubfam","id_subfam","id_fam","id_famn","id_seccion","id_subagr","id_agr","vta","uni","id_artn","art_sp","fam_sp","fam_en"
"1368","120070914003001114",1,"2007/09/14",0.459282398223877,16087421,1608742,"22124","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,22124,"PLUMAS 3         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1370","120071102003017078",1,"2007/11/02",0.421828716993332,712221,71222,"22120","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,22120,"FIDEOS PERLA     500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1371","120071006002049432",1,"2007/10/06",0.782418966293335,16087421,1608742,"22124","0101070640100","01010706401","010107064",10107064,"010107","0101","01",1.60000002384186,2,22124,"PLUMAS 3         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1373","120070726003086509",1,"2007/07/26",0.534606456756592,28491841,2849184,"562831","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.949999988079071,1,562831,"SPAGUETTONI Nº 7 500 G Brand_1","PASTA ALIMENTICIA SE","pasta"
"1374","120070719004063775",1,"2007/07/19",0.518055558204651,87242821,8724282,"22129","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.709999978542328,1,22129,"PIÑONES          500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1375","120070929003006483",1,"2007/09/29",0.831574082374573,4092462,409246,"22123","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,22123,"TALLARIN         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1376","120071027001020267",1,"2007/10/27",0.548055589199066,28491841,2849184,"22117","0101070640100","01010706401","010107064",10107064,"010107","0101","01",3.16000008583069,4,22117,"FIDEOS 2         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1377","120071010002050215",1,"2007/10/10",0.766203701496124,714481,71448,"22125","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,22125,"PLUMAS 6         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1378","120070918003002307",1,"2007/09/18",0.396678239107132,87242821,8724282,"22135","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,22135,"MARISCOS         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1379","120071019003012876",1,"2007/10/19",0.804837942123413,28491841,2849184,"562863","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.949999988079071,1,562863,"PENNE RIGATE     500 G Brand_1","PASTA ALIMENTICIA SE","pasta"
